2014-09-04,3638,3978,2014-09-04,6068,12002,2014-04-01,1426,302,2014-03-04,6888,4026,2013-11-27,40078,15952,2014-12-04,4000,2864,2015-01-12,5220,1680
2014-09-03,842,1198,2014-09-03,4742,1450,2014-03-31,2436,968,2014-03-03,44286,12388,2013-11-26,44476,40132,2014-12-03,2560,444,2015-01-09,1620,364
2014-09-02,1412,2564,2014-09-02,5534,9610,2014-03-28,1106,774,2014-02-28,9236,8644,2013-11-25,102810,21550,2014-12-02,724,2108,2015-01-08,2796,164
2014-08-29,2022,1404,2014-08-29,4876,1608,2014-03-27,1678,202,2014-02-27,2916,1344,2013-11-22,131858,43848,2014-12-01,294,1556,2015-01-07,2650,1580
2014-08-28,1078,1006,2014-08-28,19732,11534,2014-03-26,566,378,2014-02-26,6804,734,2013-11-21,2650,708,2014-11-28,194,368,2015-01-06,2320,2228
2014-08-27,1182,2922,2014-08-27,1746,6388,2014-03-25,866,906,2014-02-25,6880,1956,2013-11-20,16792,3746,2014-11-26,330,1920,2015-01-05,1478,1420
2014-08-26,1536,144,2014-08-26,20876,10080,2014-03-24,258,220,2014-02-24,19646,6274,2013-11-19,4916,4032,2014-11-25,1298,8988,2015-01-02,2180,720
2014-08-25,4086,3148,2014-08-25,1160,702,2014-03-21,1582,56,2014-02-21,37522,3986,2013-11-18,5882,7596,2014-11-24,1482,3368,2014-12-31,1926,12634
2014-08-22,21894,24508,2014-08-22,1308,1556,2014-03-20,536,136,2014-02-20,48176,12430,2013-11-15,4130,2696,2014-11-21,2480,2714,2014-12-30,496,714
2014-08-21,2986,18448,2014-08-21,1214,1272,2014-03-19,1204,96,2014-02-19,35968,26272,2013-11-14,14024,4116,2014-11-20,1908,11050,2014-12-29,396,602
2014-08-20,2022,1002,2014-08-20,1582,2554,2014-03-18,276,46,2014-02-18,25918,10776,2013-11-13,10018,966,2014-11-19,2700,848,2014-12-26,326,344
2014-08-19,8294,14320,2014-08-19,2594,7506,2014-03-17,118,88,2014-02-14,2766,654,2013-11-12,8694,3062,2014-11-18,6882,6220,2014-12-24,220,338
2014-08-18,2774,5232,2014-08-18,4200,8136,2014-03-14,328,128,2014-02-13,8960,5342,2013-11-11,7240,7626,2014-11-17,1774,1696,2014-12-23,2082,1970
2014-08-15,4476,7606,2014-08-15,4846,3132,2014-03-13,246,38,2014-02-12,788,716,2013-11-08,1852,1426,2014-11-14,8328,2588,2014-12-22,1158,1284
2014-08-14,7268,15362,2014-08-14,1776,15332,2014-03-12,122,34,2014-02-11,2056,5956,2013-11-07,14742,3678,2014-11-13,2418,7344,2014-12-19,2804,1694
2014-08-13,3250,5462,2014-08-13,1206,2270,2014-03-11,228,24,2014-02-10,3472,510,2013-11-06,8116,2430,2014-11-12,4154,980,2014-12-18,20612,1890
2014-08-12,13158,5518,2014-08-12,3878,628,2014-03-10,88,48,2014-02-07,1346,1822,2013-11-05,15654,2368,2014-11-11,5496,7110,2014-12-17,7976,826
2014-08-11,8908,3196,2014-08-11,2788,1538,2014-03-07,74,66,2014-02-06,3310,2146,2013-11-04,34056,15904,2014-11-10,4612,7950,2014-12-16,3180,2086
2014-08-08,5272,4380,2014-08-08,2834,1676,2014-03-06,218,138,2014-02-05,3606,622,2013-11-01,32540,5110,2014-11-07,30620,25310,2014-12-15,3130,1478
2014-08-07,1858,4432,2014-08-07,8562,2240,2014-03-05,258,268,2014-02-04,35334,2938,2013-10-31,94716,3798,2014-11-06,3392,3394,2014-12-12,3372,13776
2014-08-06,8048,7648,2014-08-06,2726,2248,2014-03-04,1034,96,2014-02-03,5260,5698,2013-10-30,11646,7492,2014-11-05,3302,1418,2014-12-11,1896,7142
2014-08-05,8876,13198,2014-08-05,3602,4192,2014-03-03,202,188,2014-01-31,3430,2614,2013-10-29,12066,3368,2014-11-04,1682,2980,2014-12-10,886,6772
2014-08-04,1398,8076,2014-08-04,4694,2692,2014-02-28,724,386,2014-01-30,2954,9156,2013-10-28,3500,1394,2014-11-03,1882,1120,2014-12-09,2514,11890
