2014-09-25,1356,3468,2015-02-03,3422,562,2013-11-18,964,452,2014-09-25,3778,3020,2014-07-28,18,8,2014-04-23,1284,614,2015-02-04,116,80,2014-03-25,5550,5666,2015-01-06,726,764,2014-12-09,42,82,2015-02-10,80,164,2014-04-02,4,8,2014-12-01,86,126,2015-01-08,980,124,2014-10-21,1548,200,2014-12-26,1102,330,2014-01-10,848,420,2013-12-19,23124,9652
2014-09-24,11374,21472,2015-02-02,2552,1020,2013-11-15,1270,42,2014-09-24,9938,3214,2014-07-25,680,146,2014-04-22,1624,1742,2015-02-03,30,10,2014-03-24,3602,2898,2015-01-05,392,494,2014-12-08,284,0,2015-02-09,246,70,2014-04-01,2,0,2014-11-28,58,30,2015-01-07,682,102,2014-10-20,2866,588,2014-12-24,162,156,2014-01-09,1222,1026,2013-12-18,8112,4126
2014-09-23,2824,12516,2015-01-30,2976,1154,2013-11-14,1530,136,2014-09-23,3576,7058,2014-07-24,498,46,2014-04-21,424,274,2015-02-02,40,64,2014-03-21,13280,5206,2015-01-02,444,280,2014-12-05,16,16,2015-02-06,90,160,2014-03-28,2,0,2014-11-26,472,94,2015-01-06,438,592,2014-10-17,4048,1126,2014-12-23,1482,3026,2014-01-08,742,480,2013-12-17,16096,12108
2014-09-22,2214,1850,2015-01-29,2272,1318,2013-11-13,472,140,2014-09-22,5670,11138,2014-07-23,192,178,2014-04-17,1268,288,2015-01-30,62,42,2014-03-20,4570,4398,2014-12-31,150,40,2014-12-04,4,2,2015-02-05,462,94,2014-03-27,20,0,2014-11-25,152,108,2015-01-05,830,3320,2014-10-16,976,952,2014-12-22,3740,796,2014-01-07,1982,1386,2013-12-16,29374,12350
2014-09-19,5744,2106,2015-01-28,2678,752,2013-11-12,1212,176,2014-09-19,2470,2326,2014-07-22,60,58,2014-04-16,218,172,2015-01-29,112,154,2014-03-19,7488,4520,2014-12-30,572,3860,2014-12-03,4,4,2015-02-04,758,0,2014-03-26,4,80,2014-11-24,10592,222,2015-01-02,864,106,2014-10-15,1202,900,2014-12-19,5142,10748,2014-01-06,2448,3608,2013-12-13,83620,19290
2014-09-18,652,1334,2015-01-27,3858,1820,2013-11-11,862,2,2014-09-18,1060,1340,2014-07-21,72,148,2014-04-15,242,70,2015-01-28,276,7272,2014-03-18,14940,4054,2014-12-29,186,814,2014-12-02,50,6,2015-02-03,114,1240,2014-03-25,6,0,2014-11-21,238,0,2014-12-31,1586,82,2014-10-14,726,2800,2014-12-18,14988,3544,2014-01-03,6024,3696,2013-12-12,29766,6970
2014-09-17,3708,4204,2015-01-26,4488,1198,2013-11-08,1710,544,2014-09-17,2532,2380,2014-07-18,64,20,2014-04-14,174,46,2015-01-27,126,178,2014-03-17,7346,6682,2014-12-26,4658,0,2014-12-01,42,12,2015-02-02,116,1652,2014-03-21,20,126,2014-11-20,996,0,2014-12-30,622,156,2014-10-13,902,4138,2014-12-17,4230,1140,2014-01-02,13356,1782,2013-12-11,11190,2390
2014-09-16,14942,12974,2015-01-23,8934,5446,2013-11-07,288,102,2014-09-16,4606,2988,2014-07-17,336,160,2014-04-11,470,458,2015-01-26,2562,30,2014-03-14,3734,2196,2014-12-24,36,0,2014-11-28,42,4,2015-01-30,166,160,2014-03-20,12,140,2014-11-19,1576,40,2014-12-29,272,256,2014-10-10,324,1368,2014-12-16,4808,6372,2013-12-31,1712,438,2013-12-10,15368,2438
2014-09-15,3318,9166,2015-01-22,34200,6536,2013-11-06,1140,208,2014-09-15,3620,9180,2014-07-16,228,102,2014-04-10,320,74,2015-01-23,502,50,2014-03-13,4916,712,2014-12-23,6850,6724,2014-11-26,38,12,2015-01-29,788,418,2014-03-18,50,56,2014-11-18,19364,128,2014-12-26,650,750,2014-10-09,136,1920,2014-12-15,548,278,2013-12-30,3438,2220,2013-12-09,7720,6120
2014-09-12,3828,2400,2015-01-21,1682,1072,2013-11-05,430,156,2014-09-12,12404,10486,2014-07-15,376,6246,2014-04-09,478,74,2015-01-22,480,224,2014-03-12,10570,4468,2014-12-22,296,3420,2014-11-25,52,40,2015-01-28,810,4008,2014-03-17,336,12,2014-11-17,452,48,2014-12-24,438,114,2014-10-08,1030,994,2014-12-12,172,1418,2013-12-27,442,174,2013-12-06,26776,10704
2014-09-11,3886,9040,2015-01-20,3434,976,2013-11-04,502,700,2014-09-11,24174,1438,2014-07-14,582,944,2014-04-08,184,402,2015-01-21,394,18,2014-03-11,10274,744,2014-12-19,1066,1010,2014-11-24,58,140,2015-01-27,3284,4732,2014-03-13,214,40,2014-11-14,142,0,2014-12-23,5030,1250,2014-10-07,322,222,2014-12-11,746,2782,2013-12-26,1348,310,2013-12-05,18096,22484
2014-09-10,834,2334,2015-01-16,6002,1598,2013-11-01,452,598,2014-09-10,26194,15462,2014-07-11,102,104,2014-04-07,186,232,2015-01-20,260,68,2014-03-10,2700,2658,2014-12-18,3152,58,2014-11-21,456,4,2015-01-26,1936,3184,2014-03-11,78,20,2014-11-13,278,0,2014-12-22,2002,338,2014-10-06,5120,6156,2014-12-10,226,500,2013-12-24,800,44,2013-12-04,25494,12234
2014-09-09,458,4480,2015-01-15,1820,12344,2013-10-31,1348,520,2014-09-09,3278,4490,2014-07-10,1076,190,2014-04-04,606,512,2015-01-16,7692,34,2014-03-07,16878,1806,2014-12-17,104,404,2014-11-20,50,0,2015-01-23,68,262,2014-03-07,6,28,2014-11-12,70,4,2014-12-19,1110,944,2014-10-03,886,1856,2014-12-09,374,540,2013-12-23,2746,1518,2013-12-03,16890,16626
2014-09-08,14304,9404,2015-01-14,4010,18436,2013-10-30,850,396,2014-09-08,2118,14026,2014-07-09,216,94,2014-04-03,1240,614,2015-01-15,550,306,2014-03-06,7260,6228,2014-12-16,450,8324,2014-11-19,38,0,2015-01-22,230,166,2014-03-06,38,14,2014-11-11,94,0,2014-12-18,1040,92,2014-10-02,1110,322,2014-12-08,2522,574,2013-12-20,3060,2658,2013-12-02,37192,10588
